"Name","Geodaten"
"Avgvsta vindelicv̅ ( = Augsburg)","POINT(10.894768 48.365456)"
"Ponione ( = Faimingen)","POINT(10.410222 48.561756)"
"Rapis ( = Schwabmünchen)","POINT(10.755045 48.1856)"
"Navoae ( = ? Eggenthal)","POINT(10.512053 47.914913)"
"Cambodvno ( = Kempten)","POINT(10.311047 47.723938)"
"Abodiaco ( = Epfach)","POINT(10.909769 47.909885)"
"Vrvsa ( = Raisting)","POINT(11.108567 47.912407)"
"Bratananio ( = Gauting)","POINT(11.380158 48.066494)"
"Adenvm ( = ~ Rosenheim)","POINT(12.124018 47.856075)"
"Bedaio ( = Seebruck)","POINT(12.459781 47.974918)"
"Ivavo ( = Salzburg)","POINT(13.05501 47.80949)"
"Tarnantone ( = ? Neumarkt am Wallersee)","POINT(13.22449 47.944839)"
"Laciacis ( = ? Mösendorf)","POINT(13.465947 47.982449)"
"Tergolape ( = Schwanenstadt)","POINT(13.77473 48.05505)"
"Clvnia ( = Feldkirch)","POINT(9.6019 47.24128)"
"Magia ( = Maienfeld)","POINT(9.54284 47.018398)"
"Cvria ( = Chur)","POINT(9.52673 46.857262)"
"Lapidaria ( = Zillis-Reischen)","POINT(9.45093 46.639889)"
"Cvnvavrev ( = Passo dello Spluga)","POINT(9.33028 46.5056)"
"Tarvessedo ( = Gallivaggio)","POINT(9.366176 46.362423)"
"Clavenna ( = Chiavenna)","POINT(9.397883 46.319744)"
"Como ( = Como)","POINT(9.085564 45.811989)"
"Bergomvm ( = Bergamo)","POINT(9.669953 45.694904)"
"Adnovas ( = ~ Igling)","POINT(10.814445 48.072842)"
"Avodiaco ( = Epfach)","POINT(10.909769 47.909885)"
"&lt;P&gt;arteno ( = Partenkirchen, Partanum)","POINT(11.086231 47.492344)"
"Scarbia ( = ? Mittenwald)","POINT(11.26383 47.44355)"
"Vetonina ( = Wilten)","POINT(11.384053 47.255947)"
"Matreio ( = Matrei am Brenner)","POINT(11.4524 47.12561)"
"Vepiteno ( = Vipiteno)","POINT(11.431171 46.899185)"
"Svblabione ( = ~ Chiusa)","POINT(11.564815 46.639629)"
"Pontedrvsi ( = ~ Bolzano)","POINT(11.358005 46.496716)"
"Tredente ( = Trento)","POINT(11.119059 46.066711)"
"Sarnis ( = Serravalle d'Adige)","POINT(11.015478 45.810246)"
"Brixia ( = Brescia)","POINT(10.222957 45.539829)"
"Ariolica ( = Peschiera del Garda)","POINT(10.692055 45.439388)"
"Hostilia ( = Ostiglia)","POINT(11.13789 45.070183)"
"Mediolanvm ( = Milano)","POINT(9.188141 45.463688)"
"Lavde pompeia ( = Lodi)","POINT(9.49785 45.312878)"
"Milev Colonia ( = Mila)","POINT(6.26348 36.449959)"
"Acerras ( = Pizzighettone)","POINT(9.790944 45.189999)"
"Placentia ( = Piacenza)","POINT(9.695142 45.053772)"
"Cremona ( = Cremone)","POINT(10.026135 45.133495)"
"Deloriaco ( = ~ Calvatone)","POINT(10.442352 45.129536)"
"Mantva ( = Mantova)","POINT(10.797698 45.160366)"
"Vergellis ( = Vercelli)","POINT(8.426236 45.32111)"
"Cvtias ( = Cozzo ~ Candia Lomellina)","POINT(8.612341 45.193222)"
"Lavmellvm ( = Lomello)","POINT(8.797352 45.122036)"
"Ticeno ( = Pavia)","POINT(9.156563 45.185886)"
"Florentia ( = Fiorenzuola d'Arda)","POINT(9.910787 44.927189)"
"Fidentia ( = Fidenza)","POINT(10.061731 44.865101)"
"Parna ( = Parma)","POINT(10.329548 44.807865)"
"Lepidoregio ( = Reggio nell'Emilia)","POINT(10.627794 44.696232)"
"Mvtina ( = Modena)","POINT(10.92522 44.647079)"
"Foro Gallorvm ( = Castelfranco Emilia)","POINT(11.053148 44.596722)"
"Bononia ( = Bologna)","POINT(11.346481 44.494221)"
"Iria ( = Voghera)","POINT(9.00968 44.992184)"
"Ricina ( = Recco)","POINT(9.143833 44.362232)"
"Lvne ( = Luni)","POINT(10.026169 44.089855)"
"Lvca ( = Lucca)","POINT(10.507994 43.843014)"
"Pistoris ( = Pistoia)","POINT(10.918523 43.932156)"
"Hellana ( = ~ Agliana)","POINT(11.00737 43.907501)"
"Ad solaria ( = ~ Capalle)","POINT(11.131623 43.836643)"
"Florentia Tvscorvm ( = Firenze)","POINT(11.256901 43.76873)"
"Adtaberna Frigida ( = Massa di Carrara)","POINT(10.101042 44.082565)"
"Pisis ( = Pisa)","POINT(10.396584 43.716133)"
"Valvata ( = ? Cascina)","POINT(10.546802 43.676628)"
"Arnvm Fl. ( = Fiume Arno)","POINT(11.077984 43.670021)"
"Bitvriza ( = ? Montevarchi)","POINT(11.570007 43.52877)"
"Adretio ( = Arezzo)","POINT(11.863048 43.471275)"
"Thibili ( = Announa)","POINT(7.25 36.366669)"
"Clvsio ( = Chiusi)","POINT(11.948444 43.017036)"
"Velinis ( = ? Volterra)","POINT(10.861111 43.401424)"
"Aqvas volaternas ( = Terme di Pomarance)","POINT(10.876959 43.2645)"
